timestamp,bg_checks,anti_reg,pro_reg
2019-09-15,46741,1,0
2019-09-16,69574,0,0
2019-09-17,85434,0,0
2019-09-18,83936,0,0
2019-09-19,75939,0,0
2019-09-20,82537,0,0
2019-09-21,87408,0,0
2019-09-22,52315,0,0
2019-09-23,69119,0,0
2019-09-24,67047,0,0
2019-09-25,77452,0,0
2019-09-26,89485,0,0
2019-09-27,96958,0,0
2019-09-28,70542,0,0
2019-09-29,46255,0,0
2019-09-30,80489,0,0
2019-10-01,79071,0,0
2019-10-02,78158,0,0
2019-10-03,84153,0,0
2019-10-04,107470,0,0
2019-10-05,80808,0,0
2019-10-06,47428,0,0
2019-10-07,71648,0,0
2019-10-08,81686,0,0
2019-10-09,86380,0,0
2019-10-10,81209,0,0
2019-10-11,86496,0,0
2019-10-12,81653,0,0
2019-10-13,41676,0,0
2019-10-14,73651,0,0
2019-10-15,71350,0,0
2019-10-16,74652,0,0
2019-10-17,76452,0,0
2019-10-18,103349,0,0
2019-10-19,75635,0,0
2019-10-20,37840,0,0
2019-10-21,85661,0,0
2019-10-22,88457,0,0
2019-10-23,75521,0,0
2019-10-24,72678,0,0
2019-10-25,100059,0,0
2019-10-26,85071,0,0
2019-10-27,44007,0,0
2019-10-28,65146,0,0
2019-10-29,86293,0,0
2019-10-30,90948,0,0
2019-10-31,79003,0,0
2019-11-01,93843,0,0
2019-11-02,71705,0,0
2019-11-03,47110,0,0
2019-11-04,87929,0,0
2019-11-05,74464,0,0
2019-11-06,63875,0,0
2019-11-07,80541,0,0
2019-11-08,99060,0,0
2019-11-09,88166,0,0
2019-11-10,63003,0,0
2019-11-11,66195,0,0
2019-11-12,78387,0,0
2019-11-13,85476,0,0
2019-11-14,96159,0,0
2019-11-15,104885,0,0
2019-11-16,82919,0,0
2019-11-17,41962,0,0
2019-11-18,89619,0,0
2019-11-19,90745,0,0
2019-11-20,79980,0,0
2019-11-21,86328,0,0
2019-11-22,111276,0,0
2019-11-23,90668,0,0
2019-11-24,53219,0,0
2019-11-25,82143,0,0
