timestamp,bg_checks
2019-09-15,46741
2019-09-16,69574
2019-09-17,85434
2019-09-18,83936
2019-09-19,75939
2019-09-20,82537
2019-09-21,87408
2019-09-22,52315
2019-09-23,69119
2019-09-24,67047
2019-09-25,77452
2019-09-26,89485
2019-09-27,96958
2019-09-28,70542
2019-09-29,46255
2019-09-30,80489
2019-10-01,79071
2019-10-02,78158
2019-10-03,84153
2019-10-04,107470
2019-10-05,80808
2019-10-06,47428
2019-10-07,71648
2019-10-08,81686
2019-10-09,86380
2019-10-10,81209
2019-10-11,86496
2019-10-12,81653
2019-10-13,41676
2019-10-14,73651
2019-10-15,71350
2019-10-16,74652
2019-10-17,76452
2019-10-18,103349
2019-10-19,75635
2019-10-20,37840
2019-10-21,85661
2019-10-22,88457
2019-10-23,75521
2019-10-24,72678
2019-10-25,100059
2019-10-26,85071
2019-10-27,44007
2019-10-28,65146
2019-10-29,86293
2019-10-30,90948
2019-10-31,79003
2019-11-01,93843
2019-11-02,71705
2019-11-03,47110
2019-11-04,87929
2019-11-05,74464
2019-11-06,63875
2019-11-07,80541
2019-11-08,99060
2019-11-09,88166
2019-11-10,63003
2019-11-11,66195
2019-11-12,78387
2019-11-13,85476
2019-11-14,96159
2019-11-15,104885
2019-11-16,82919
2019-11-17,41962
2019-11-18,89619
2019-11-19,90745
2019-11-20,79980
2019-11-21,86328
2019-11-22,111276
2019-11-23,90668
2019-11-24,53219
2019-11-25,82143
2019-11-26,93177
2019-11-27,116161
2019-11-28,58478
2019-11-29,202465
2019-11-30,94814
2019-12-01,44924
2019-12-02,74926
2019-12-03,86895
2019-12-04,98037
2019-12-05,104510
2019-12-06,113664
2019-12-07,86657
2019-12-08,65590
2019-12-09,99520
2019-12-10,101998
2019-12-11,84173
2019-12-12,106322
2019-12-13,129199
2019-12-14,120983
2019-12-15,53983
2019-12-16,94893
2019-12-17,111474
2019-12-18,113911
2019-12-19,107347
2019-12-20,136232
2019-12-21,132941
2019-12-22,76761
2019-12-23,129452
2019-12-24,91627
2019-12-25,26215
2019-12-26,101489
2019-12-27,108715
2019-12-28,85730
2019-12-29,56315
2019-12-30,101138
2019-12-31,91273
2020-01-01,48648
2020-01-02,97072
2020-01-03,113612
2020-01-04,97352
2020-01-05,52430
2020-01-06,87121
