"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"In grief, Uvalde residents reassess gun control laws Where firearms are ubiquitous, some see sense in change","","Healy, Jack; Kitroeff, Natalie","Hartford Courant","Newspapers","","","","2022-05-29","May 29, 2022","A.4","","","10474153","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2670782066?accountid=37646&bdid=156567&_bd=88QBKxGNSqkqqjF%2BPhBVJyAO0NA%3D",""
"New gun control bill misses target; The proposed Canadian gun bill would create U.S.-style patchwork of firearms laws","","Schwartz, Noah S","Strathroy Age Dispatch","Newspapers","","","","2021-04-15","Apr 15, 2021","A.16","","","08347255","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2512975385?accountid=37646&bdid=156567&_bd=B4GHFOrBi483bmQTYQHr4%2BsQya4%3D",""
"DeSantis weighs in on abortion, guns Governor says he backs new abortion rules, looser firearms law","","Swisher, Skyler","Orlando Sentinel","Newspapers","","","","2022-12-16","Dec 16, 2022","A.3","","","","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2754719252?accountid=37646&bdid=156567&_bd=LFJpcx7r24RT8SlnitWzSDaV9J4%3D",""
"'Constitutional carry' comes with problems","Local prosecutor, law enforcement, salesmen speak out on new gun law","Tuggle, Zach","News Journal","Newspapers","","","","2022-03-20","Mar 20, 2022","A.1","","","","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2640686538?accountid=37646&bdid=156567&_bd=2%2BeP0xK8arYkl5TPxsAXYlOh2XU%3D",""
"United States: Supreme Court Rules Against New York Law Limiting Concealed Firearms","","","Asia News Monitor","Newspapers","","","","2022-06-27","Jun 27, 2022","","","","","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2680331806?accountid=37646&bdid=156567&_bd=YSZrq0va5FeW13aKY2Si7f8dLgc%3D",""
"State attorney general, Hawaii counties reviewing firearm laws in wake of SCOTUS decision","","Boylan, Peter","Honolulu Star - Advertiser","Newspapers","","","","2022-07-03","Jul 3, 2022","","","","","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2683598356?accountid=37646&bdid=156567&_bd=%2FKa%2FFswD2Ym9R0nsPHTOxfa8r6c%3D",""
"Anyone, anywhere, anytime","As Iowa adopts its anything-goes gun-permit law this week, the violence caused by firearms nationwide threatens to numb us to its cost — until something happens to us.","","Des Moines Register","Newspapers","","","","2021-06-27","Jun 27, 2021","OP.1","","","3068-2363","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2545295610?accountid=37646&bdid=156567&_bd=PAf60NsHudS0bGIoGvTuTpO6JKA%3D",""
"Right-to-carry laws increase firearm theft","","Cai, Sam","The Desert Sun","Newspapers","","","","2023-11-24","Nov 24, 2023","A.1","","","","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2892839314?accountid=37646&bdid=156567&_bd=EgoUx09GaP3PHFoXXx3fXhr1rbA%3D",""
"No good behavior‘ exception in firearm law","","","Virginia Lawyers Weekly","Newspapers","","","","2021-03-12","Mar 12, 2021","","","","08974772","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2502077452?accountid=37646&bdid=156567&_bd=ue9YxyWuoiTT%2Bt%2FUueiKclZVg0s%3D",""
"In grief, Uvalde residents reassess gun control laws Where firearms are ubiquitous, some see sense in change","","Healy, Jack; Kitroeff, Natalie","The Baltimore Sun","Newspapers","","","","2022-05-29","May 29, 2022","B.1","","","19439504","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2670815993?accountid=37646&bdid=156567&_bd=X6Y8MU2NNBUly6BP01DzLg3sgNU%3D",""
"How guns are bought changes Tuesday","Most new firearm laws -- except for ""red flag"" -- are going into effect.","Olson, Rochelle; Bierschbach, Briana","Star Tribune","Newspapers","","","","2023-07-31","Jul 31, 2023","A.5","","","08952825","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2843919588?accountid=37646&bdid=156567&_bd=jq9ZxLDf2crcHDQ%2By3ng1iR5M1o%3D",""
"New gun control bill misses target; The proposed Canadian gun bill would create U.S.- style patchwork of firearms laws","","Schwartz, Noah S","Kingston Whig - Standard","Newspapers","","","","2021-04-13","Apr 13, 2021","A.5","","","11974397","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2512171771?accountid=37646&bdid=156567&_bd=zq%2BMZfzpogzHh21xPjbYr0OHrbQ%3D",""
"DeSantis repeats his backing for firearms law","","","Pensacola News Journal","Newspapers","","","","2022-05-03","May 3, 2022","A.3","","","","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2658481071?accountid=37646&bdid=156567&_bd=gsVrUK%2FV%2Bh9YHNVP7T9bKO0wkBk%3D",""
"Cincinnati heads to court in fight to pass its own gun laws","","Knight, Cameron","The Advocate","Newspapers","","","","2023-06-30","Jun 30, 2023","B.6","","","07402120","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2831167302?accountid=37646&bdid=156567&_bd=oBuYE5NcnDEfJOryiJabXiHkvRk%3D",""
"FOID, red flags and restraining orders: How Illinois laws regulate firearm purchases","","BETH HUNDSDORFER Capitol News Illinois","St. Joseph News - Press","Newspapers","","","","2022-07-09","Jul 9, 2022","n/a","","","10634312","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2687093865?accountid=37646&bdid=156567&_bd=1t1Zj6Nx0I9CuGEavA6b9mhvGTk%3D",""
"Judge removes parts of gun law","Firearms are allowed in certain areas of state","Stockler, Asher","The Poughkeepsie Journal","Newspapers","","","","2022-10-08","Oct 8, 2022","A.1","","","","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2722632205?accountid=37646&bdid=156567&_bd=WhgBbaRdsQLWAYZ%2BHv68mNtztMo%3D",""
"New York bid to tighten law on firearms struck down","Supreme Court","Palma, Stefania; Chaffin, Joshua","Financial Times","Newspapers","","","","2022-06-24","Jun 24, 2022","5","","","03071766","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2693176948?accountid=37646&bdid=156567&_bd=3X63%2BM0ch5kR4FnYqJl35kUTUGw%3D",""
"Gun group sues over Ill. firearms marketing law","","","Pantagraph","Newspapers","","","","2023-08-17","Aug 17, 2023","A5","","","26417634","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/3126707384?accountid=37646&bdid=156567&_bd=kdci5pV%2B7M%2FAxGbADqwwQiQNbj0%3D",""
"CITY & STATE; Firearm law survives court challenge","","Rector, Kevin","Los Angeles Times","Newspapers","","","","2023-09-22","Sep 22, 2023","B.3","","B.3","04583035","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2867005562?accountid=37646&bdid=156567&_bd=QTDC8Yf%2B2%2BDwSSQKeI%2FLG2gUtqU%3D",""
"Gun groups' success blocking local firearm controls leaves towns desperate to stop massacres","","Nick Penzenstadler; ; Brian Freskos; The Trace","USA Today (Online)","Newspapers","","","","2021-03-23","Mar 23, 2021","","","","21651779","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2503991563?accountid=37646&bdid=156567&_bd=NPiZdtmfaz1Ac8ZnRomFn1ID3G8%3D",""
"Fatal shooting underscores need for firearm storage laws","","","The Baltimore Sun","Newspapers","","","","2022-08-10","Aug 10, 2022","A.16","","","19439504","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2700244311?accountid=37646&bdid=156567&_bd=rJOeXYtlyT1Jy27D2Ii83MRC0aI%3D",""
"U.S. News: Federal Judge Blocks New York's New Firearms Law","","Gershman, Jacob","Wall Street Journal","Newspapers","","","","2022-10-07","Oct 7, 2022","A.3","","","00999660","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2722122783?accountid=37646&bdid=156567&_bd=Q9EmuJ3x%2FVQqsWKxiLDr3UMUzzU%3D",""
"Baldwin's Lawyers Say Manslaughter Charge Was Based on Wrong Firearm Law","[National Desk]","Bowley, Graham; Jacobs, Julia","New York Times","Newspapers","","","","2023-02-12","Feb 12, 2023","A.18","","A.18","03624331","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2775347491?accountid=37646&bdid=156567&_bd=btDgf2gbV1K4ywPWxE7KIlz%2BTVQ%3D",""
"Mass. House swiftly passes changes to firearms law, aiming to protect state's strict gun control regime after Supreme Court decision","","Stout, Matt","Boston Globe (Online)","Newspapers","","","","2022-07-21","Jul 21, 2022","","","","","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2692395837?accountid=37646&bdid=156567&_bd=aw3H%2FSe1kebvRrhG7iw5zT%2BsjSo%3D",""
"Cincinnati heads to court in fight to pass gun laws","","Knight, Cameron","Cincinnati Enquirer","Newspapers","","","","2023-06-28","Jun 28, 2023","A.5","","","25755706","","","ENG","http://ezproxy.clarkson.edu/login?url=https://www.proquest.com/docview/2830014029?accountid=37646&bdid=156567&_bd=NR0AC1Pho%2F385plF%2F3%2FEinAvkQ8%3D",""
