"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"'Nice School Shooting'? Radio Host Is Out","[National Desk]","Bogel-Burroughs, Nicholas","New York Times","Newspapers","","","","2019-12-20","Dec 20, 2019","A.24","","A.24","03624331","","","ENG","","https://www.proquest.com/docview/2328530756?accountid=11226&bdid=87782&_bd=l9lQgOAavtPwImPqRbvWizdlM0w%3D",""
"A Year After a School Shooting, Divisions Run Through Uvalde","","Sandoval, Edgar; Goodman, J David","New York Times","Newspapers","","","","2023-05-22","May 22, 2023","","","","03624331","","","ENG","","https://www.proquest.com/docview/2816880878?accountid=11226&bdid=87782&_bd=norksWBeeOi4MIbTXdXUyy5ROnU%3D",""
"Safety issues mounting for area schools Virus, school shootings top list of concerns","","Swisher, Skyler","Orlando Sentinel","Newspapers","","","","2020-09-09","Sep 9, 2020","B.3","","","","","","ENG","","https://www.proquest.com/docview/2440807401?accountid=11226&bdid=87782&_bd=z96b94v9ORx5UWw2RGXODWb3%2Ffk%3D",""
"'Still so relevant' [Corrected 07/07/2022]","Michael Shannon will direct 'Eric LaRue,' an adaptation of Brett Neveu's drama of what happens after a school shooting","Phillips, Michael","Chicago Tribune","Newspapers","","","","2022-07-07","Jul 7, 2022","8","","","10856706","","","ENG","","https://www.proquest.com/docview/2685342039?accountid=11226&bdid=87782&_bd=xM7JaoSmkdlgd62ruVPdkX30FEk%3D",""
"Belgrade Is Consumed With Grief for 9 Dead In a School Shooting","[Foreign Desk]","Constant Méheut; Zivojinovic, Vladimir","New York Times","Newspapers","","","","2023-05-05","May 5, 2023","A.7","","A.7","03624331","","","ENG","","https://www.proquest.com/docview/2809341237?accountid=11226&bdid=87782&_bd=c93Yk8fImGBGouWcqZGmoZiyBUw%3D",""
"Texas Governor Drops Out, but High-Profile Speakers, Including Trump, Remain on NRA Convention Schedule","","Daniel, Victor","New York Times","Newspapers","","","","2022-05-27","May 27, 2022","","","","03624331","","","ENG","","https://www.proquest.com/docview/2670351407?accountid=11226&bdid=87782&_bd=QTP1FIPPUlVm18kvuJ%2BbNkiBMYk%3D",""
"On Uvalde’s Day of the Dead, a Night to Remember","","Sandoval, Edgar","New York Times","Newspapers","","","","2022-11-03","Nov 3, 2022","","","","03624331","","","ENG","","https://www.proquest.com/docview/2731502257?accountid=11226&bdid=87782&_bd=zuu7sqoNMkQy4SS%2BMN%2F9GlddeTI%3D",""
"Boy, 16, charged as adult in Benito Juarez high school shooting","","Sobol, Rosemary; Shanzeh Ahmad","Chicago Tribune","Newspapers","","","","2023-02-11","Feb 11, 2023","3","","","10856706","","","ENG","","https://www.proquest.com/docview/2775193637?accountid=11226&bdid=87782&_bd=dxfiVX4iw3%2BMloOwxo8W38sOMUE%3D",""
"Teacher killed in St. Louis school shooting mourned, remembered as 'selfless'","","Bell, Kim","St. Louis Post - Dispatch","Newspapers","","","","2022-11-01","Nov 1, 2022","A.1","","","19309600","","","ENG","","https://www.proquest.com/docview/2730705681?accountid=11226&bdid=87782&_bd=rdircFFnUy8bz0S9Ijm7MxZWSEQ%3D",""
"Heeding Warning Signs Before School Shootings","[Letter]","","New York Times","Newspapers","","","","2021-12-07","Dec 7, 2021","A.20","","A.20","03624331","","","ENG","","https://www.proquest.com/docview/2607136150?accountid=11226&bdid=87782&_bd=W0KEH%2FFnNKO4hIxmqDCo1r8bSAo%3D",""
"Haze of Questions in School Shooting","[Correction]","Bibeau, Paul; Mervosh, Sarah; Arango, Tim","New York Times","Newspapers","","","","2023-01-08","Jan 8, 2023","A.12","","A.12","03624331","","","ENG","","https://www.proquest.com/docview/2761602923?accountid=11226&bdid=87782&_bd=i3HxCtUmRzDWu8s5aakjAQIv%2FyE%3D",""
"After shooting, school officials increase security [Corrected 01/27/2023]","","Nolan, Mike","Chicago Tribune","Newspapers","","","","2023-01-26","Jan 26, 2023","6","","","10856706","","","ENG","","https://www.proquest.com/docview/2769538204?accountid=11226&bdid=87782&_bd=jHIokN7yNNUQVUYnEdg0sG5tyFE%3D",""
"A 6-year-old is accused of a shooting. It's beyond time for a paradigm shift. [Corrected 01/27/2023]","","McNair, Jerald","Chicago Tribune","Newspapers","","","","2023-01-26","Jan 26, 2023","9","","","10856706","","","ENG","","https://www.proquest.com/docview/2769538205?accountid=11226&bdid=87782&_bd=y45ipITPsyZTLsjKbZTYSbOOJK0%3D",""
"'Bright light in dark time' in Uvalde","After mass shooting, Texas town prepares to build new school","","Chicago Tribune","Newspapers","","","","2023-11-01","Nov 1, 2023","6","","","10856706","","","ENG","","https://www.proquest.com/docview/2884559846?accountid=11226&bdid=87782&_bd=QB5xVDPIMEYJJ9rcPAKT9xiJcRA%3D",""
"School shooting victim: 'I can feel the prayers' [Corrected 10/14/2021]","Condition of wounded Phillips Academy student has stabilized","Fry, Paige; Turner, Tatyana; Swartz, Tracy; Casanova, Stephanie","Chicago Tribune","Newspapers","","","","2021-10-14","Oct 14, 2021","1","","","10856706","","","ENG","","https://www.proquest.com/docview/2581691108?accountid=11226&bdid=87782&_bd=PeppQ%2FbK48zMK35ynFs8wtsKthM%3D",""
"Guilty Plea in School Shooting That Killed One","[National Desk]","Levenson, Michael","New York Times","Newspapers","","","","2020-02-09","Feb 9, 2020","A.26","","A.26","03624331","","","ENG","","https://www.proquest.com/docview/2352347645?accountid=11226&bdid=87782&_bd=8%2FQHQ9DaS7SkfIzssnlzh3GxP70%3D",""
"Students return to Collegiate High in south St. Louis five weeks after school shooting","","Blythe, Bernhard","St. Louis Post - Dispatch","Newspapers","","","","2022-11-29","Nov 29, 2022","A.1","","","19309600","","","ENG","","https://www.proquest.com/docview/2741002957?accountid=11226&bdid=87782&_bd=ETgmP0I1GvHLEbyEXwxY4dIlc24%3D",""
"NRA Convention Kicks Off Its Second Day After a Defiant Opening","","Luke Vander Ploeg","New York Times","Newspapers","","","","2022-05-28","May 28, 2022","","","","03624331","","","ENG","","https://www.proquest.com/docview/2670690468?accountid=11226&bdid=87782&_bd=%2BHQ8xdCVLz32mDUwmAbxYEsF6a8%3D",""
