Unnamed: 0,video_url,timestamp,text,transcript,combined_text,classification,scores
0,https://www.tiktok.com/@alwaysembarassed/video/7055029356690885934,1642627027,This is not a problem with one school. It’s a problem with the whole system. #CloseYourRings #ArbysDiabloDare #teachersoftiktok #guncontrol,if you're wondering what it's like to be teacher in America right now I just spent 3 hours on lockdown because the student was shot during 6th period on my campus and now I'm at Target to buy snacks for my kids tomorrow because I can't do anything to protect them but maybe I can feed them snacks and let them watch a movie instead of working do I make enough as a teacher to buy all of this no I don't but I can't do nothing before hours before us from the building or giving us any updates literally 2 hours without any updates the news today but I never realized about the school shooting coverage until I lived through it was that I actually didn't incident doesn't feel isolated when you're living through it one student was shot in 1000 of students 2 hours crouched in dark Corners in Pitch Black classrooms without any clearer idea of what was happening outside wondering if they were going to be the next name for 2 hours of hiding they confirmed it in arrests had been made but we were going to lock down and we sat and walk down for another hour and tomorrow tomorrow it's going to be business as usual counselors will be expected to keep working keep learning supposed to get their education,This is not a problem with one school. It’s a problem with the whole system. #CloseYourRings #ArbysDiabloDare #teachersoftiktok #guncontrol if you're wondering what it's like to be teacher in America right now I just spent 3 hours on lockdown because the student was shot during 6th period on my campus and now I'm at Target to buy snacks for my kids tomorrow because I can't do anything to protect them but maybe I can feed them snacks and let them watch a movie instead of working do I make enough as a teacher to buy all of this no I don't but I can't do nothing before hours before us from the building or giving us any updates literally 2 hours without any updates the news today but I never realized about the school shooting coverage until I lived through it was that I actually didn't incident doesn't feel isolated when you're living through it one student was shot in 1000 of students 2 hours crouched in dark Corners in Pitch Black classrooms without any clearer idea of what was happening outside wondering if they were going to be the next name for 2 hours of hiding they confirmed it in arrests had been made but we were going to lock down and we sat and walk down for another hour and tomorrow tomorrow it's going to be business as usual counselors will be expected to keep working keep learning supposed to get their education,undefined,"[0.3090488910675049, 0.23959407210350037, 0.45135697722435]"
1,https://www.tiktok.com/@himedia.sg/video/7112821782226291969,1656082879,Mass stabbings? What is with the baseless claims 🙄 #DidYouKnow #StopGunViolance #Gun #GunControl,hey Google,Mass stabbings? What is with the baseless claims 🙄 #DidYouKnow #StopGunViolance #Gun #GunControl hey Google,opposed to gun regulation,"[0.6888164281845093, 0.20972922444343567, 0.10145437717437744]"
2,https://www.tiktok.com/@cami.twomeyy/video/6977916936395001093,1624672896,We need a change. 3044 kids from this class alone. This video makes me sick to my stomach. #gunviolenceawareness #guncontrol #news #NewsWithCami,a group of parents whose children were victims of the Parkland school shooting invited the ex NRA president to address 3044 empty chairs each empty chair represents one student from this graduating class alone that lost their lives as a result of gun violence this man is a strong gun rights activists and thought he was giving a practice rehearsal speech for a graduation instead he was addressing the Lost class of 2021 and the results are chilling and devastating here's the video Google thank you,We need a change. 3044 kids from this class alone. This video makes me sick to my stomach. #gunviolenceawareness #guncontrol #news #NewsWithCami a group of parents whose children were victims of the Parkland school shooting invited the ex NRA president to address 3044 empty chairs each empty chair represents one student from this graduating class alone that lost their lives as a result of gun violence this man is a strong gun rights activists and thought he was giving a practice rehearsal speech for a graduation instead he was addressing the Lost class of 2021 and the results are chilling and devastating here's the video Google thank you,opposed to gun regulation,"[0.7017093896865845, 0.24785950779914856, 0.05043107271194458]"
3,https://www.tiktok.com/@jacob.arthur/video/7116897056173673733,1657031725,Reply to @jacob.arthur  Godwin’s Law at its finest #usa #guns #ww2 #guncontrol #history #america #germany,the history of the Third Reich and the history of World War Two what Americans it was a question about gun regulations in Germany today there's so much to say about the things wrong with that statement that I'm going to have to make an entire other video about it but let's please get away with this whole American thinking of Germany OK Google OK Google and third the vast majority of German casualties occurred on which front now you don't agree with you said so what do you agree with you I agree with machine guns suppressors so apparently just should have access to machine guns and grenades I mean with that but I'm pretty sure that you could think of some people that you personally don't want to see have machine guns for example terrorists and I'm talking about terrorists or children whose number one cause of death right now is Firearms but at least we finally moved on from the whole Germany in the 1930s thing because it stopped giving a shit you guys still give a shit about Germany but there's got to be some American out there who gives at least two shots about what Germany does today why don't we take gun policies from Allied countries today like Australia Canada or the UK they are quite similar to Germany and so many other countries too and what are they all have in common very few gun deaths per capita compared to the United States of America but y'all stitches have taught me one thing I do have the power to summon all of the white bearded conservatives didn't know that finally I am cherry picking the juicy bits to make an entertaining point but there were indeed a lot of Americans who love comment saying that they would like or love some or all of Germany's gun laws and regulations even gun owners which is an encouraging site but there were some other Americans who simply said,Reply to @jacob.arthur  Godwin’s Law at its finest #usa #guns #ww2 #guncontrol #history #america #germany the history of the Third Reich and the history of World War Two what Americans it was a question about gun regulations in Germany today there's so much to say about the things wrong with that statement that I'm going to have to make an entire other video about it but let's please get away with this whole American thinking of Germany OK Google OK Google and third the vast majority of German casualties occurred on which front now you don't agree with you said so what do you agree with you I agree with machine guns suppressors so apparently just should have access to machine guns and grenades I mean with that but I'm pretty sure that you could think of some people that you personally don't want to see have machine guns for example terrorists and I'm talking about terrorists or children whose number one cause of death right now is Firearms but at least we finally moved on from the whole Germany in the 1930s thing because it stopped giving a shit you guys still give a shit about Germany but there's got to be some American out there who gives at least two shots about what Germany does today why don't we take gun policies from Allied countries today like Australia Canada or the UK they are quite similar to Germany and so many other countries too and what are they all have in common very few gun deaths per capita compared to the United States of America but y'all stitches have taught me one thing I do have the power to summon all of the white bearded conservatives didn't know that finally I am cherry picking the juicy bits to make an entertaining point but there were indeed a lot of Americans who love comment saying that they would like or love some or all of Germany's gun laws and regulations even gun owners which is an encouraging site but there were some other Americans who simply said,opposed to gun regulation,"[0.6259989142417908, 0.19590136408805847, 0.17809970676898956]"
4,https://www.tiktok.com/@meaganonline/video/7233410362488409386,1684159600,"When I try to open my mouth, heart and mind around this words fail me. I’m enraged, heartbroken and numb. THINGS HAVE TO CHANGE. #greenscreenvideo #guncontrol #womenshealth #enoughisenough",Could not understand audio,"When I try to open my mouth, heart and mind around this words fail me. I’m enraged, heartbroken and numb. THINGS HAVE TO CHANGE. #greenscreenvideo #guncontrol #womenshealth #enoughisenough Could not understand audio",undefined,"[0.17447002232074738, 0.3301003873348236, 0.4954296052455902]"
5,https://www.tiktok.com/@realmrme/video/7039040988446428462,1638904448,#greenscreen #guncontrol #schoolshooting #2ndadmendment,School shooters specifically in mind curved hallways to reduce the gunman's range jutting barriers to provide cover and address and meticulously space classrooms that can lock on demand and hide students in the corner out of a killer site was this the description of a high school or am I just describing a new Call of Duty map they're getting FPS map designers to make schools now,#greenscreen #guncontrol #schoolshooting #2ndadmendment School shooters specifically in mind curved hallways to reduce the gunman's range jutting barriers to provide cover and address and meticulously space classrooms that can lock on demand and hide students in the corner out of a killer site was this the description of a high school or am I just describing a new Call of Duty map they're getting FPS map designers to make schools now,in favor of gun regulation,"[0.4479520916938782, 0.48539721965789795, 0.06665074080228806]"
6,https://www.tiktok.com/@thegoodliars/video/7103312826135006507,1653868898,We spoke directly to Wayne LaPierre at the NRA Convention and thanked him for all his thoughts and prayers.  #stunt #prank #tglnyc #texas #guncontrol,thank you my name is Jason Sullivan and I'm from West Palm Beach Florida and I would like to say that I am sick and tired of the left-wing media and frankly people in this room today spreading misinformation about Wayne LaPierre whenever there's a mass shooting they all say that Wayne LaPierre isn't doing enough to stop these mass shootings and even implying that has played a part in making it easier for these shooters to get guns to get weapons you're hurting after Las Vegas nightclub in Orlando Florida and frankly that's not true the NRA's leadership has provided thoughts and prayers to the victims and their families and and maybe these mass shootings would stop happening if we all thought a little bit more and we prayed a little bit more so I'm asking everyone in this room to think to pray give your thoughts and your prayers and your thoughts and your prayers and your prayers and your thoughts and if we give enough of the thoughts and these prayers these mass shootings will stop so I want to thank you for all your thoughts and all your prayers,We spoke directly to Wayne LaPierre at the NRA Convention and thanked him for all his thoughts and prayers.  #stunt #prank #tglnyc #texas #guncontrol thank you my name is Jason Sullivan and I'm from West Palm Beach Florida and I would like to say that I am sick and tired of the left-wing media and frankly people in this room today spreading misinformation about Wayne LaPierre whenever there's a mass shooting they all say that Wayne LaPierre isn't doing enough to stop these mass shootings and even implying that has played a part in making it easier for these shooters to get guns to get weapons you're hurting after Las Vegas nightclub in Orlando Florida and frankly that's not true the NRA's leadership has provided thoughts and prayers to the victims and their families and and maybe these mass shootings would stop happening if we all thought a little bit more and we prayed a little bit more so I'm asking everyone in this room to think to pray give your thoughts and your prayers and your thoughts and your prayers and your prayers and your thoughts and if we give enough of the thoughts and these prayers these mass shootings will stop so I want to thank you for all your thoughts and all your prayers,in favor of gun regulation,"[0.44371500611305237, 0.4654206931591034, 0.09086426347494125]"
7,https://www.tiktok.com/@the_real_cool_dad/video/6913221977691983110,1609609938,,hey man let me ask you a question how come you don't support black lives matter I don't support black lives matter because I believe all lies matter not just black lives oh I see if all lives matter you wear a mask to protect our lives hell no man I don't wear no mask that shit don't work plus it's my body my choice oh then you're pro-choice well that's awesome you believe in women's reproductive rights in abortions then hell no that's just like those kids who got shot,nan hey man let me ask you a question how come you don't support black lives matter I don't support black lives matter because I believe all lies matter not just black lives oh I see if all lives matter you wear a mask to protect our lives hell no man I don't wear no mask that shit don't work plus it's my body my choice oh then you're pro-choice well that's awesome you believe in women's reproductive rights in abortions then hell no that's just like those kids who got shot,undefined,"[0.17486652731895447, 0.05516526848077774, 0.7699681520462036]"
8,https://www.tiktok.com/@meaganonline/video/7102088107763305771,1653583747,"When I try to open my mouth, heart and mind around this words fail me. I’m enraged, heartbroken and numb. THINGS HAVE TO CHANGE. #greenscreenvideo #guncontrol #womenshealth #enoughisenough",Could not understand audio,"When I try to open my mouth, heart and mind around this words fail me. I’m enraged, heartbroken and numb. THINGS HAVE TO CHANGE. #greenscreenvideo #guncontrol #womenshealth #enoughisenough Could not understand audio",undefined,"[0.17447002232074738, 0.3301003873348236, 0.4954296052455902]"
9,https://www.tiktok.com/@theproblem/video/7206393675209887019,1677869288,,but you don't want anything that could help law enforcement or Society determine whether or not a person is a good guy with a gun or a bad guy with a gun most even on the street would allow you to have much more effective background checks so I don't understand why you won't just admit that you are making it harder for police to manage the streets by allowing all of these guns to go out without permits without checks and without background stuff why is that hard why can't you just stand by that because that's not what I'm doing I'm defending the individuals right to keep and bear arms that's a different argument OK Google,nan but you don't want anything that could help law enforcement or Society determine whether or not a person is a good guy with a gun or a bad guy with a gun most even on the street would allow you to have much more effective background checks so I don't understand why you won't just admit that you are making it harder for police to manage the streets by allowing all of these guns to go out without permits without checks and without background stuff why is that hard why can't you just stand by that because that's not what I'm doing I'm defending the individuals right to keep and bear arms that's a different argument OK Google,opposed to gun regulation,"[0.8175255060195923, 0.015232877805829048, 0.167241632938385]"
